Identity,Evaluation,Potency,Activity,Toyota,Ford,BMW,Mercedes,,Position in E,Position in A,Top 5 entities,Euclidean Distance,,TMeanE,TMeanP,TMeanA,FMeanE,FMeanP,FMeanA,BMeanE,BMeanP,BMeanA,MMeanE,MMeanP,MMeanA
abortionist,-1.16,0.24,-0.06,3.65,3.39,4.44,4.57,,Toyota,,,,,2.33478261,1.33043478,0.4,1.47391304,2.00869565,1.06956522,2.65652174,2.06,1.13913043,2.80434783,2.16956522,1.0826087
adolescent,0.65,-0.33,1.17,2.44,2.48,3.18,3.32,,$E$193,$A$193,helper,0.2,,2.47,1.4,0.44,1.26,1.94,1.09,2.48,1.96,1.15,2.68,2.33,0.79
adult,1.35,1.76,0.04,1.12,1.1,1.75,1.85,,$E$322,$A$322,pediatrician,0.33,,2.08,1.38,0.17,1.65,2.07,1.32,2.75,1.97,1.39,2.75,1.97,1.39
adulterer,-1.84,-0.59,-0.57,4.65,4.54,5.54,5.67,,$E$363,$A$363,registered nurse,0.38,,2.12,1.22,0.73,1.36,2.23,1.2,2.75,1.92,1.37,2.75,1.92,1.37
adulteress,-2.03,-0.84,-0.61,4.93,4.84,5.83,5.96,,$E$334,$A$334,practical nurse,0.39,,2.05,1.34,0.7,1.42,1.96,0.8,2.75,1.88,1.38,2.48,1.96,1.15
advisor,1.31,1.2,0.18,1.02,1.23,1.89,2.02,,$E$444,$A$444,sweetheart,0.45,,2.31,1.25,0.85,1.41,2.15,0.81,2.68,2.33,0.79,3,2.37,1.41
Afro-American,0.98,0.33,0.56,1.65,1.83,2.53,2.66,,Ford,,,,,,,,,,,,,,,,
agnostic,-0.33,-0.32,0.06,3.11,3.13,4.01,4.15,,$F$122,$A$122,employer,0.25,,,,,,,,,,,,,
aide,1.58,0.59,0.41,1.01,1.57,2,2.13,,$F$270,$A$270,millionaire,0.28,,,,,,,,,,,,,
Air Force enlistee,1.28,0.69,0.59,1.2,1.42,2.07,2.2,,$F$264,$A$264,Marine Corps officer,0.29,,,,,,,,,,,,,
Air Force officer,1.36,1.74,1.66,1.63,0.63,1.5,1.61,,$F$178,$A$178,grownup,0.31,,,,,,,,,,,,,
Air Force reservist,1.66,1.07,0.96,0.88,0.95,1.47,1.61,,$F$338,$A$338,principal,0.34,,,,,,,,,,,,,
alcoholic,-2.03,-1.99,-0.09,5.46,5.46,6.37,6.5,,BMW,,,,,,,,,,,,,,,,
alumnus,1.17,1.12,-0.03,1.22,1.47,2.14,2.26,,$G$277,$A$277,mother,0.27,,,,,,,,,,,,,
anti-Semite,-1.72,-0.47,0.69,4.4,4.08,5.13,5.27,,$G$142,$A$142,fiancé,0.32,,,,,,,,,,,,,
applicant,1,-0.37,-0.03,2.16,2.67,3.2,3.33,,$G$84,$A$84,companion,0.33,,,,,,,,,,,,,
apprentice,1.45,-0.45,0.37,1.95,2.56,2.93,3.06,,$G$155,$A$155,friend,0.36,,,,,,,,,,,,,
Army enlistee,1.39,0.88,0.96,1.15,1.13,1.8,1.94,,$G$253,$A$253,loved one,0.39,,,,,,,,,,,,,
Army officer,0.72,1.87,1.41,1.96,0.85,2.02,2.13,,Mercedes,,,,,,,,,,,,,,,,
Army reservist,2.13,2.04,1.64,1.45,0.83,0.79,0.88,,$H$253,$A$253,loved one,0.36,,,,,,,,,,,,,
Asian-American,0.92,0.18,0.38,1.78,2.04,2.72,2.85,,$H$142,$A$142,fiancé,0.37,,,,,,,,,,,,,
assistant,1.5,0.51,0.45,1.13,1.63,2.1,2.23,,$H$84,$A$84,companion,0.39,,,,,,,,,,,,,
atheist,-0.51,-0.3,-0.45,3.34,3.43,4.3,4.43,,$H$277,$A$277,mother,0.4,,,,,,,,,,,,,
athlete,1.57,1.66,2.04,1.83,1,1.53,1.64,,$H$464,$A$464,true love,0.41,,,,,,,,,,,,,
attorney,0.66,1.6,0.94,1.75,0.94,2.11,2.23,,,,,,,,,,,,,,,,,,
aunt,1.76,0.46,0.29,1,1.76,2.06,2.18,,,,,,,,,,,,,,,,,,
authority,0.77,1.97,1.03,1.79,0.73,1.94,2.04,,,,,,,,,,,,,,,,,,
baby sitter,1.01,0.8,0.11,1.41,1.63,2.35,2.48,,,,,,,,,,,,,,,,,,
baby,1.63,-1.64,0.3,3.02,3.73,3.97,4.09,,,,,,,,,,,,,,,,,,
bachelor,1.01,0.97,1.74,1.89,1.31,2.13,2.26,,,,,,,,,,,,,,,,,,
baldy,-0.55,-0.01,-0.67,3.31,3.37,4.26,4.39,,,,,,,,,,,,,,,,,,
battered woman,-2.05,-1.47,-1.27,5.42,5.5,6.4,6.53,,,,,,,,,,,,,,,,,,
beginner,0.75,-0.78,-0.28,2.68,3.19,3.74,3.87,,,,,,,,,,,,,,,,,,
best friend,3.2,2.34,1.73,1.91,1.84,0.84,0.76,,,,,,,,,,,,,,,,,,
best man,2.02,1.45,1.4,1.05,0.81,0.99,1.12,,,,,,,,,,,,,,,,,,
big brother,1.6,1.65,1.14,1.08,0.37,1.19,1.32,,,,,,,,,,,,,,,,,,
big shot,-0.04,1.42,1.55,2.61,1.71,2.86,2.98,,,,,,,,,,,,,,,,,,
big sister,1.17,0.87,0.98,1.34,1.18,1.97,2.11,,,,,,,,,,,,,,,,,,
bisexual,-0.81,-0.2,0.37,3.45,3.27,4.26,4.4,,,,,,,,,,,,,,,,,,
blind date,0.69,0.19,0.77,1.99,2.01,2.79,2.93,,,,,,,,,,,,,,,,,,
blonde,0.95,-0.04,1.14,2.04,2.11,2.76,2.91,,,,,,,,,,,,,,,,,,
bootlicker,-1.53,-1.56,-0.01,4.8,4.8,5.7,5.84,,,,,,,,,,,,,,,,,,
boozer,-1.16,-0.91,0.54,4.11,3.98,4.93,5.07,,,,,,,,,,,,,,,,,,
bore,-1.26,-0.95,-1.63,4.68,4.88,5.7,5.82,,,,,,,,,,,,,,,,,,
Born-Again Christian,1.66,1.38,1.09,0.94,0.64,1.26,1.4,,,,,,,,,,,,,,,,,,
boss,0.48,2.16,0.94,2.08,1.04,2.23,2.33,,,,,,,,,,,,,,,,,,
bouncer,0.89,2.17,0.64,1.67,0.78,1.87,1.96,,,,,,,,,,,,,,,,,,
boy,0.95,0.89,1.69,1.91,1.37,2.21,2.34,,,,,,,,,,,,,,,,,,
boyfriend,0.71,1.25,0.81,1.64,1.13,2.18,2.31,,,,,,,,,,,,,,,,,,
brat,-2.42,-0.93,1.6,5.36,4.92,5.97,6.11,,,,,,,,,,,,,,,,,,
bride,1.82,1.1,0.95,0.76,0.97,1.34,1.48,,,,,,,,,,,,,,,,,,
bridegroom,1.31,0.78,0.03,1.18,1.63,2.2,2.32,,,,,,,,,,,,,,,,,,
bridesmaid,2.11,0.24,0.69,1.12,1.91,1.99,2.12,,,,,,,,,,,,,,,,,,
brother-in-law,1.15,0.35,0.24,1.5,1.89,2.49,2.62,,,,,,,,,,,,,,,,,,
brother,1.86,1.82,1.5,1.29,0.57,0.97,1.09,,,,,,,,,,,,,,,,,,
brunette,1.2,0.41,0.31,1.42,1.8,2.39,2.53,,,,,,,,,,,,,,,,,,
brute,-1.01,1.17,0.52,3.31,2.71,3.87,3.99,,,,,,,,,,,,,,,,,,
buddy,2.28,1.61,1.65,1.29,1.03,0.85,0.96,,,,,,,,,,,,,,,,,,
bully,-2.61,1.17,1.38,5.01,4.2,5.4,5.51,,,,,,,,,,,,,,,,,,
bum,-0.79,-1.71,-1.35,4.66,5,5.72,5.85,,,,,,,,,,,,,,,,,,
bureaucrat,-0.54,0.11,0.22,3.08,2.92,3.9,4.04,,,,,,,,,,,,,,,,,,
businessman,1.5,2,1.66,1.65,0.56,1.33,1.43,,,,,,,,,,,,,,,,,,
businesswoman,1.23,0.95,0.77,1.19,1.13,1.9,2.03,,,,,,,,,,,,,,,,,,
call girl,-0.26,-0.76,1.66,3.52,3.32,4.15,4.29,,,,,,,,,,,,,,,,,,
capitalist,0.75,1.3,1.19,1.74,1.03,2.11,2.24,,,,,,,,,,,,,,,,,,
Catholic,0.53,0.37,0.43,2,2.01,2.85,2.99,,,,,,,,,,,,,,,,,,
celebrity,0.24,2,1.71,2.54,1.4,2.54,2.64,,,,,,,,,,,,,,,,,,
chain-smoker,-2.11,-1.72,-0.68,5.45,5.48,6.4,6.53,,,,,,,,,,,,,,,,,,
champion,2.47,2.52,2.23,2.21,1.58,1.23,1.22,,,,,,,,,,,,,,,,,,
chatterbox,-1.06,-0.04,1.73,3.85,3.33,4.37,4.51,,,,,,,,,,,,,,,,,,
child molester,-3.57,-1.42,-2.14,6.95,6.92,7.89,8.01,,,,,,,,,,,,,,,,,,
child,1.45,-0.76,2.1,2.8,2.94,3.28,3.4,,,,,,,,,,,,,,,,,,
chum,-0.05,0.22,0.38,2.59,2.47,3.41,3.54,,,,,,,,,,,,,,,,,,
citizen,1.39,0.52,0.41,1.2,1.64,2.17,2.3,,,,,,,,,,,,,,,,,,
classmate,1.52,0.55,0.77,1.14,1.49,1.98,2.11,,,,,,,,,,,,,,,,,,
clergyman,1.53,1.61,0.13,0.87,1.05,1.6,1.7,,,,,,,,,,,,,,,,,,
client,1.3,0.89,1.3,1.41,1.15,1.86,2,,,,,,,,,,,,,,,,,,
clock watcher,-0.15,-1.15,-1.52,3.96,4.42,5.05,5.18,,,,,,,,,,,,,,,,,,
co-worker,0.62,0.13,0.54,2.05,2.14,2.92,3.06,,,,,,,,,,,,,,,,,,
coach,1.82,1.93,1.19,1.12,0.34,0.9,1.02,,,,,,,,,,,,,,,,,,
coed,1.75,0.87,1.15,1.02,1.16,1.55,1.7,,,,,,,,,,,,,,,,,,
colleague,1.75,1.17,0.59,0.6,1.01,1.42,1.56,,,,,,,,,,,,,,,,,,
companion,2.75,1.92,1.37,1.24,1.28,0.33,0.39,,,,,,,,,,,,,,,,,,
competitor,1.26,1.66,1.57,1.61,0.63,1.58,1.7,,,,,,,,,,,,,,,,,,
computer expert,1.36,1.05,-0.13,1.11,1.56,2.1,2.22,,,,,,,,,,,,,,,,,,
confidant,1.35,1.44,0.49,0.96,0.84,1.62,1.75,,,,,,,,,,,,,,,,,,
conservative,-0.14,0.45,-0.74,2.82,2.91,3.76,3.88,,,,,,,,,,,,,,,,,,
consultant,0.83,1,0.65,1.52,1.29,2.22,2.35,,,,,,,,,,,,,,,,,,
convalescent,0.3,0.09,-0.03,2.38,2.52,3.33,3.46,,,,,,,,,,,,,,,,,,
cop,0.64,1.74,0.49,1.72,1.09,2.18,2.29,,,,,,,,,,,,,,,,,,
cousin,1.66,0.57,0.74,1.03,1.48,1.88,2.02,,,,,,,,,,,,,,,,,,
criminal,-2.37,-0.77,0.76,5.12,4.77,5.84,5.97,,,,,,,,,,,,,,,,,,
critic,-0.38,0.64,1.58,3,2.37,3.44,3.57,,,,,,,,,,,,,,,,,,
crook,-2.8,-0.72,-0.31,5.53,5.28,6.34,6.47,,,,,,,,,,,,,,,,,,
customer,1.45,1.47,0.94,1.02,0.56,1.41,1.54,,,,,,,,,,,,,,,,,,
date,2.86,1.6,1.56,1.32,1.49,0.7,0.76,,,,,,,,,,,,,,,,,,
daughter-in-law,1.4,-0.18,0.38,1.73,2.3,2.72,2.85,,,,,,,,,,,,,,,,,,
daughter,1.47,-0.04,1.11,1.73,2.04,2.47,2.61,,,,,,,,,,,,,,,,,,
deadbeat dad,-2.48,-1.81,-1.9,6.15,6.27,7.15,7.28,,,,,,,,,,,,,,,,,,
defendant,-0.22,-0.83,-0.46,3.41,3.66,4.42,4.55,,,,,,,,,,,,,,,,,,
defense attorney,1.17,1.73,1.37,1.55,0.5,1.6,1.72,,,,,,,,,,,,,,,,,,
delinquent,-1.81,-0.78,0.41,4.61,4.38,5.4,5.53,,,,,,,,,,,,,,,,,,
demagogue,-0.35,0.83,0.38,2.69,2.3,3.38,3.51,,,,,,,,,,,,,,,,,,
detective,0.91,1.61,-0.3,1.59,1.57,2.32,2.42,,,,,,,,,,,,,,,,,,
devil worshiper,-1.59,-1.64,-0.31,4.93,4.98,5.86,6,,,,,,,,,,,,,,,,,,
devil,-3.12,1.25,0.72,5.43,4.7,5.89,6.01,,,,,,,,,,,,,,,,,,
disciplinarian,0.29,1.26,0.74,2.04,1.46,2.58,2.7,,,,,,,,,,,,,,,,,,
district attorney,0.28,1.2,0.47,2.02,1.59,2.66,2.78,,,,,,,,,,,,,,,,,,
divorce lawyer,-0.64,1.07,0.79,2.97,2.35,3.51,3.63,,,,,,,,,,,,,,,,,,
divorcé,-1.68,0.52,-0.27,4.11,3.77,4.85,4.98,,,,,,,,,,,,,,,,,,
divorcée,-0.23,-0.52,0.2,3.12,3.19,4.03,4.17,,,,,,,,,,,,,,,,,,
do-nothing,-1.9,-2.03,-2.14,5.93,6.19,6.98,7.1,,,,,,,,,,,,,,,,,,
